video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-1-alert.mkv,alert,0,0,0.2854,0.0702,0.0454,0.0028,0.005,0.0007,0.0,0.0,0
video-1-alert.mkv,alert,0,1,0.2818,0.0702,0.0428,0.0028,0.005,0.0008,0.0,0.0,0
video-1-alert.mkv,alert,0,2,0.2812,0.0702,0.0427,0.0026,0.005,0.0008,0.0,0.0,0
video-1-alert.mkv,alert,0,3,0.2798,0.0702,0.0427,0.0024,0.0037,0.0007,0.0,0.0,0
video-1-alert.mkv,alert,0,4,0.2686,0.0702,0.0535,0.0025,0.0037,0.0007,0.0333,0.0333,0
video-1-alert.mkv,alert,0,5,0.2722,0.1408,0.0402,0.0056,0.0996,0.0175,0.0333,0.0333,0
video-1-alert.mkv,alert,0,6,0.2602,0.1408,0.0502,0.0074,0.0996,0.0184,0.0333,0.0333,0
video-1-alert.mkv,alert,0,7,0.257,0.1408,0.0481,0.0086,0.0996,0.019,0.0333,0.0333,0
video-1-alert.mkv,alert,0,8,0.2586,0.1408,0.0504,0.0087,0.0996,0.019,0.0333,0.0333,0
video-1-alert.mkv,alert,0,9,0.244,0.0661,0.0673,0.0143,0.0996,0.0267,0.0333,0.0333,0
video-1-alert.mkv,alert,0,10,0.2528,0.0661,0.0655,0.0205,0.1269,0.0335,0.0333,0.0333,0
video-1-alert.mkv,alert,0,11,0.2524,0.0661,0.0709,0.0183,0.1269,0.0299,0.0,0.0,0
video-1-alert.mkv,alert,0,12,0.2515,0.0661,0.0747,0.0275,0.1845,0.0478,0.0,0.0,0
video-1-alert.mkv,alert,0,13,0.2546,0.0661,0.0759,0.0333,0.1845,0.0549,0.0,0.0,0
video-1-alert.mkv,alert,0,14,0.2573,0.0661,0.0762,0.0373,0.1845,0.0548,0.0,0.0,0
video-1-alert.mkv,alert,0,15,0.2692,0.0841,0.0585,0.0392,0.1845,0.0569,0.0,0.0,0
video-1-alert.mkv,alert,0,16,0.2636,0.0841,0.0617,0.0331,0.1845,0.0552,0.0,0.0,0
video-1-alert.mkv,alert,0,17,0.2703,0.0841,0.0521,0.0373,0.1845,0.0587,0.0,0.0,0
video-1-alert.mkv,alert,0,18,0.2859,0.153,0.0317,0.0329,0.181,0.0542,0.0,0.0,0
video-1-alert.mkv,alert,0,19,0.2892,0.153,0.0326,0.0321,0.1764,0.0493,0.0,0.0,0
video-1-alert.mkv,alert,0,20,0.2882,0.153,0.0323,0.037,0.1764,0.0552,0.0,0.0,0
